english,I was dismayed_________ the thought of teaching algebra and geometry.,A.for,B.of,C.but,D.at,D
english,The headmaster and I obviously had very little _________.,A.in the same,B.in similarity,C.in comparison,D.in common,D
english,I mumbled something about not _________ too much importance to games.,A.attaching,B.laying,C.putting,D.offering,A
english,All the local farmers ________ against the building of a new airport on their rich farmland.,A.projected,B.proceeded,C.protested,D.proposed,C
english,The bell rang ___________ I had time to look over my examination paper.,A.until,B.when,C.as,D.before,D
english,The student __________ much brighter than he had first appeared.,A.provided,B.improved,C.proved,D.used,C
english,He never did work ________ the solution.,A.out,B.with,C.forth,D.to,A
english,His quick expression of disapproval ________ me he did not agree with this practical approach.,A.questioned,B.asked,C.foretold,D.told,D
english,His score is ______.,A.worked,B.functioned,C.rolled,D.did,A
english,I could accept this fact with__________.,A.taciturn,B.calmness,C.quietness,D.silence,B
